team,team_country,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_against,avg_age_against,possession_against,games_against,games_starts_against,minutes_against,minutes_90s_against,goals_against,assists_against,goals_assists_against,goals_pens_against,pens_made_against,pens_att_against,cards_yellow_against,cards_red_against,goals_per90_against,assists_per90_against,goals_assists_per90_against,goals_pens_per90_against,goals_assists_pens_per90_against,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,shots_against,shots_on_target_against,shots_on_target_pct_against,shots_per90_against,shots_on_target_per90_against,goals_per_shot_against,goals_per_shot_on_target_against,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,minutes_per_game_against,minutes_pct_against,minutes_per_start_against,games_complete_against,games_subs_against,minutes_per_sub_against,unused_subs_against,points_per_game_against,on_goals_for_against,on_goals_against_against,plus_minus_against,plus_minus_per90_against,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,cards_yellow_red_against,fouls_against,fouled_against,offsides_against,crosses_against,interceptions_against,tackles_won_against,pens_won_against,pens_conceded_against,own_goals_against,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_games_against,gk_games_starts_against,gk_minutes_against,gk_goals_against_against,gk_goals_against_per90_against,gk_shots_on_target_against_against,gk_saves_against,gk_save_pct_against,gk_wins_against,gk_ties_against,gk_losses_against,gk_clean_sheets_against,gk_clean_sheets_pct_against,gk_pens_att_against,gk_pens_allowed_against,gk_pens_saved_against,gk_pens_missed_against,gk_pens_save_pct_against
Germany,Germany,16,28.0,65.0,1,11,90,1.0,7,6,13,6,1,1,0,0,7.0,6.0,13.0,6.0,12.0,16,28.5,35.0,1,11,90,1.0,1,0,1,1,0,0,0,0,1.0,0.0,1.0,1.0,1.0,26,12,46.2,26.0,12.0,0.23,0.5,8,2,25.0,8.0,2.0,0.13,0.5,90,100,82,6,5,18,10,3.0,7,1,6,6.0,90,100,82,8,3,26,12,0.0,1,7,-6,-6.0,0,18,10,0,12,10,13,,,0,0,11,18,1,7,16,7,,,0,1,1,90,1,1.0,2,1,50.0,1,0,0,0,0.0,0,0,0,0,,1,1,90,7,7.0,10,4,40.0,0,0,1,0,0.0,1,1,0,0,0.0
Ghana,Ghana,16,26.6,38.0,1,11,90,1.0,1,0,1,1,0,0,1,0,1.0,0.0,1.0,1.0,1.0,16,29.3,62.0,1,11,90,1.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,8,2,25.0,8.0,2.0,0.13,0.5,11,4,36.4,11.0,4.0,0.0,0.0,90,100,78,6,5,26,9,3.0,1,0,1,1.0,90,100,78,7,4,19,11,0.0,0,1,-1,-1.0,0,9,11,4,16,8,9,,,0,0,11,9,1,21,5,11,,,0,1,1,90,0,0.0,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,1,1,90,1,1.0,3,2,66.7,0,0,1,0,0.0,0,0,0,0,
Haiti,Haiti,17,29.1,48.5,2,22,180,2.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,17,29.5,51.5,2,22,180,2.0,4,2,6,4,0,0,4,0,2.0,1.0,3.0,2.0,3.0,22,5,22.7,11.0,2.5,0.0,0.0,17,7,41.2,8.5,3.5,0.24,0.57,90,100,81,14,8,25,22,0.0,0,4,-4,-2.0,90,100,81,12,10,19,19,3.0,4,0,4,2.0,0,37,34,7,34,15,17,,,0,0,34,35,9,23,16,17,,,0,2,2,180,4,2.0,7,3,42.9,0,0,2,0,0.0,0,0,0,0,,2,2,180,0,0.0,5,5,100.0,2,0,0,2,100.0,0,0,0,0,
IR Iran,Iran,15,31.9,48.0,1,11,90,1.0,2,1,3,2,0,0,1,0,2.0,1.0,3.0,2.0,3.0,15,28.9,52.0,1,11,90,1.0,2,2,4,2,0,0,0,0,2.0,2.0,4.0,2.0,4.0,17,4,23.5,17.0,4.0,0.12,0.5,14,8,57.1,14.0,8.0,0.14,0.25,90,100,79,7,4,30,11,1.0,2,2,0,0.0,90,100,79,6,5,12,9,1.0,2,2,0,0.0,0,10,8,2,19,11,10,,,0,0,8,10,0,12,13,10,,,0,1,1,90,2,2.0,8,6,75.0,0,1,0,0,0.0,0,0,0,0,,1,1,90,2,2.0,4,2,50.0,0,1,0,0,0.0,0,0,0,0,
Iraq,Iraq,16,26.8,39.0,1,11,90,1.0,1,1,2,1,0,0,1,0,1.0,1.0,2.0,1.0,2.0,16,27.9,61.0,1,11,90,1.0,3,2,5,3,0,0,0,0,3.0,2.0,5.0,3.0,5.0,11,1,9.1,11.0,1.0,0.09,1.0,12,5,41.7,12.0,5.0,0.25,0.6,90,100,80,6,5,23,10,0.0,1,4,-3,-3.0,90,100,80,6,5,16,10,3.0,4,1,3,3.0,0,12,13,1,13,5,13,,,1,0,13,11,0,17,3,10,,,0,1,1,90,4,4.0,6,2,33.3,0,0,1,0,0.0,0,0,0,0,,1,1,90,1,1.0,1,0,0.0,1,0,0,0,0.0,0,0,0,0,
Japan,Japan,16,27.9,40.0,1,11,90,1.0,2,2,4,2,0,0,0,0,2.0,2.0,4.0,2.0,4.0,16,27.5,60.0,1,11,90,1.0,2,2,4,2,0,0,3,0,2.0,2.0,4.0,2.0,4.0,10,3,30.0,10.0,3.0,0.2,0.67,10,6,60.0,10.0,6.0,0.2,0.33,90,100,83,6,5,16,10,1.0,2,2,0,0.0,90,100,83,6,5,16,10,1.0,2,2,0,0.0,0,7,7,0,23,4,10,,,0,0,7,6,1,21,7,5,,,0,1,1,90,2,2.0,6,4,66.7,0,1,0,0,0.0,0,0,0,0,,1,1,90,2,2.0,3,1,33.3,0,1,0,0,0.0,0,0,0,0,
Jordan,Jordan,16,28.3,37.0,1,11,90,1.0,1,1,2,1,0,0,0,0,1.0,1.0,2.0,1.0,2.0,16,29.2,63.0,1,11,90,1.0,2,1,3,1,1,1,1,0,2.0,1.0,3.0,1.0,2.0,11,4,36.4,11.0,4.0,0.09,0.25,11,4,36.4,11.0,4.0,0.09,0.25,90,100,86,6,5,9,10,0.0,1,3,-2,-2.0,90,100,86,6,5,30,10,3.0,3,1,2,2.0,0,7,9,1,15,12,7,,,1,0,12,6,3,17,15,8,,,0,1,1,90,3,3.0,3,1,33.3,0,0,1,0,0.0,1,1,0,0,0.0,1,1,90,1,1.0,4,3,75.0,1,0,0,0,0.0,0,0,0,0,
Korea Republic,Korea Republic,19,28.8,60.0,2,22,180,2.0,2,2,4,2,0,0,3,0,1.0,1.0,2.0,1.0,2.0,19,28.3,40.0,2,22,180,2.0,2,1,3,2,0,0,0,0,1.0,0.5,1.5,1.0,1.5,24,8,33.3,12.0,4.0,0.08,0.25,15,8,53.3,7.5,4.0,0.13,0.25,90,100,81,12,10,21,20,1.5,2,2,0,0.0,90,100,81,13,9,17,20,1.5,2,2,0,0.0,0,16,24,8,21,16,14,,,0,0,25,16,5,20,14,14,,,0,2,2,180,2,1.0,8,6,75.0,1,0,1,0,0.0,0,0,0,0,,2,2,180,2,1.0,8,6,75.0,1,0,1,1,50.0,0,0,0,0,
Mexico,Mexico,22,28.3,51.5,2,22,180,2.0,3,2,5,3,0,0,1,1,1.5,1.0,2.5,1.5,2.5,22,28.6,48.5,2,22,180,2.0,0,0,0,0,0,0,4,2,0.0,0.0,0.0,0.0,0.0,24,8,33.3,12.0,4.0,0.13,0.38,12,4,33.3,6.0,2.0,0.0,0.0,90,100,83,11,10,16,19,3.0,3,0,3,1.5,90,100,83,12,9,23,21,0.0,0,3,-3,-1.5,0,21,18,4,17,15,13,,,0,0,18,19,7,17,12,17,,,0,2,2,180,0,0.0,4,4,100.0,2,0,0,2,100.0,0,0,0,0,,2,2,180,3,1.5,8,5,62.5,0,0,2,0,0.0,0,0,0,0,
Morocco,Morocco,16,26.0,54.0,2,22,180,2.0,2,2,4,2,0,0,1,0,1.0,1.0,2.0,1.0,2.0,16,29.9,46.0,2,22,180,2.0,1,1,2,1,0,0,3,0,0.5,0.5,1.0,0.5,1.0,26,5,19.2,13.0,2.5,0.08,0.4,18,5,27.8,9.0,2.5,0.06,0.2,90,100,86,13,9,11,21,2.0,2,1,1,0.5,90,100,86,12,10,24,19,0.5,1,2,-1,-0.5,0,22,26,1,25,9,23,,,0,0,27,21,1,29,14,24,,,0,2,2,180,1,0.5,5,4,80.0,1,1,0,1,50.0,0,0,0,0,,2,2,180,2,1.0,5,3,60.0,0,1,1,0,0.0,0,0,0,0,
Netherlands,Netherlands,16,27.5,60.0,1,11,90,1.0,2,2,4,2,0,0,3,0,2.0,2.0,4.0,2.0,4.0,16,27.9,40.0,1,11,90,1.0,2,2,4,2,0,0,0,0,2.0,2.0,4.0,2.0,4.0,10,6,60.0,10.0,6.0,0.2,0.33,10,3,30.0,10.0,3.0,0.2,0.67,90,100,83,6,5,16,10,1.0,2,2,0,0.0,90,100,83,6,5,16,10,1.0,2,2,0,0.0,0,7,6,1,21,7,5,,,0,0,7,7,0,23,4,10,,,0,1,1,90,2,2.0,3,1,33.3,0,1,0,0,0.0,0,0,0,0,,1,1,90,2,2.0,6,4,66.7,0,1,0,0,0.0,0,0,0,0,
New Zealand,New Zealand,16,28.9,52.0,1,11,90,1.0,2,2,4,2,0,0,0,0,2.0,2.0,4.0,2.0,4.0,16,31.9,48.0,1,11,90,1.0,2,1,3,2,0,0,1,0,2.0,1.0,3.0,2.0,3.0,14,8,57.1,14.0,8.0,0.14,0.25,17,4,23.5,17.0,4.0,0.12,0.5,90,100,84,6,5,12,9,1.0,2,2,0,0.0,90,100,84,7,4,30,11,1.0,2,2,0,0.0,0,8,10,0,12,13,10,,,0,0,10,8,2,19,11,10,,,0,1,1,90,2,2.0,4,2,50.0,0,1,0,0,0.0,0,0,0,0,,1,1,90,2,2.0,8,6,75.0,0,1,0,0,0.0,0,0,0,0,
Norway,Norway,16,27.9,61.0,1,11,90,1.0,3,2,5,3,0,0,0,0,3.0,2.0,5.0,3.0,5.0,16,26.8,39.0,1,11,90,1.0,1,1,2,1,0,0,1,0,1.0,1.0,2.0,1.0,2.0,12,5,41.7,12.0,5.0,0.25,0.6,11,1,9.1,11.0,1.0,0.09,1.0,90,100,83,6,5,16,10,3.0,4,1,3,3.0,90,100,83,6,5,23,10,0.0,1,4,-3,-3.0,0,13,11,0,17,3,10,,,0,0,12,13,1,13,5,13,,,1,1,1,90,1,1.0,1,0,0.0,1,0,0,0,0.0,0,0,0,0,,1,1,90,4,4.0,6,2,33.3,0,0,1,0,0.0,0,0,0,0,
Panama,Panama,15,29.3,62.0,1,11,90,1.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,15,26.6,38.0,1,11,90,1.0,1,0,1,1,0,0,1,0,1.0,0.0,1.0,1.0,1.0,11,4,36.4,11.0,4.0,0.0,0.0,8,2,25.0,8.0,2.0,0.13,0.5,90,100,83,7,4,19,11,0.0,0,1,-1,-1.0,90,100,83,6,5,26,9,3.0,1,0,1,1.0,0,11,9,1,21,5,11,,,0,0,9,11,4,16,8,9,,,0,1,1,90,1,1.0,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,1,1,90,0,0.0,4,4,100.0,1,0,0,1,100.0,0,0,0,0,
Paraguay,Paraguay,21,28.2,28.5,2,22,180,2.0,2,2,4,2,0,0,6,1,1.0,1.0,2.0,1.0,2.0,21,27.0,71.5,2,22,180,2.0,3,3,6,3,0,0,3,0,1.5,1.5,3.0,1.5,3.0,16,3,18.8,8.0,1.5,0.13,0.67,48,11,22.9,24.0,5.5,0.06,0.27,90,100,79,11,10,19,20,1.5,2,4,-2,-1.0,90,100,79,13,9,25,21,1.5,4,2,2,1.0,0,32,26,4,11,18,31,,,1,0,27,31,4,59,17,18,,,0,2,2,180,4,2.0,12,8,66.7,1,0,1,1,50.0,0,0,0,0,,2,2,180,2,1.0,3,1,33.3,1,0,1,0,0.0,0,0,0,0,
Portugal,Portugal,15,27.9,75.0,1,11,90,1.0,1,1,2,1,0,0,3,0,1.0,1.0,2.0,1.0,2.0,15,29.6,25.0,1,11,90,1.0,1,1,2,1,0,0,1,0,1.0,1.0,2.0,1.0,2.0,7,1,14.3,7.0,1.0,0.14,1.0,8,2,25.0,8.0,2.0,0.13,0.5,90,100,82,7,4,23,11,1.0,1,1,0,0.0,90,100,82,6,5,16,10,1.0,1,1,0,0.0,0,9,9,3,23,2,6,,,0,0,10,9,2,9,5,11,,,0,1,1,90,1,1.0,2,1,50.0,0,1,0,0,0.0,0,0,0,0,,1,1,90,1,1.0,1,0,0.0,0,1,0,0,0.0,0,0,0,0,
Qatar,Qatar,19,29.3,26.5,2,22,180,2.0,1,1,2,1,0,0,3,2,0.5,0.5,1.0,0.5,1.0,19,28.8,73.5,2,22,180,2.0,6,1,7,5,1,1,2,0,3.0,0.5,3.5,2.5,3.0,9,4,44.4,4.5,2.0,0.11,0.25,58,17,29.3,29.0,8.5,0.09,0.29,90,100,73,11,10,28,20,0.5,1,7,-6,-3.0,90,100,73,12,10,19,19,2.0,7,1,6,3.0,0,22,20,1,11,21,19,,,1,0,20,22,2,90,13,11,,,0,2,2,180,7,3.5,15,9,60.0,0,1,1,0,0.0,1,1,0,0,0.0,2,2,180,1,0.5,4,3,75.0,1,1,0,1,50.0,0,0,0,0,
Saudi Arabia,Saudi Arabia,16,28.7,33.0,1,11,90,1.0,1,0,1,1,0,0,1,0,1.0,0.0,1.0,1.0,1.0,16,29.2,67.0,1,11,90,1.0,1,0,1,1,0,0,0,0,1.0,0.0,1.0,1.0,1.0,7,3,42.9,7.0,3.0,0.14,0.33,27,10,37.0,27.0,10.0,0.04,0.1,90,100,86,6,5,8,10,1.0,1,1,0,0.0,90,100,86,6,5,24,8,1.0,1,1,0,0.0,0,11,6,0,7,7,9,,,0,0,6,11,6,47,10,2,,,0,1,1,90,1,1.0,10,9,90.0,0,1,0,0,0.0,0,0,0,0,,1,1,90,1,1.0,3,2,66.7,0,1,0,0,0.0,0,0,0,0,
Scotland,Scotland,19,29.7,43.5,2,22,180,2.0,1,0,1,1,0,0,4,0,0.5,0.0,0.5,0.5,0.5,19,27.7,56.5,2,22,180,2.0,1,1,2,1,0,0,2,0,0.5,0.5,1.0,0.5,1.0,15,2,13.3,7.5,1.0,0.07,0.5,27,4,14.8,13.5,2.0,0.04,0.25,90,100,84,12,10,14,20,1.5,1,1,0,0.0,90,100,84,15,7,10,23,1.5,1,1,0,0.0,0,32,29,2,27,15,18,,,0,0,31,31,3,33,11,12,,,0,2,2,180,1,0.5,4,3,75.0,1,0,1,1,50.0,0,0,0,0,,2,2,180,1,0.5,2,1,50.0,1,0,1,1,50.0,0,0,0,0,
Senegal,Senegal,16,29.1,46.0,1,11,90,1.0,1,1,2,1,0,0,0,0,1.0,1.0,2.0,1.0,2.0,16,27.2,54.0,1,11,90,1.0,3,2,5,3,0,0,0,0,3.0,2.0,5.0,3.0,5.0,6,2,33.3,6.0,2.0,0.17,0.5,11,8,72.7,11.0,8.0,0.27,0.38,90,100,85,6,5,10,10,0.0,1,3,-2,-2.0,90,100,85,9,2,8,13,3.0,3,1,2,2.0,0,9,5,3,9,8,9,,,0,0,5,8,1,9,7,14,,,0,1,1,90,3,3.0,8,5,62.5,0,0,1,0,0.0,0,0,0,0,,1,1,90,1,1.0,3,2,66.7,1,0,0,0,0.0,0,0,0,0,
South Africa,South Africa,18,27.5,51.0,2,22,180,2.0,1,0,1,0,1,1,4,2,0.5,0.0,0.5,0.0,0.0,18,28.4,49.0,2,22,180,2.0,3,3,6,3,0,0,2,1,1.5,1.5,3.0,1.5,3.0,20,6,30.0,10.0,3.0,0.0,0.0,30,7,23.3,15.0,3.5,0.1,0.43,90,100,80,14,7,23,21,0.5,1,3,-2,-1.0,90,100,80,11,10,23,19,2.0,3,1,2,1.0,0,21,21,4,25,16,18,,,0,0,24,21,3,28,17,10,,,0,2,2,180,3,1.5,7,4,57.1,0,1,1,0,0.0,0,0,0,0,,2,2,180,1,0.5,5,5,100.0,1,1,0,1,50.0,1,1,0,0,0.0
Spain,Spain,15,27.3,74.0,1,11,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,15,31.4,26.0,1,11,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,27,7,25.9,27.0,7.0,0.0,0.0,6,1,16.7,6.0,1.0,0.0,0.0,90,100,85,7,4,14,11,1.0,0,0,0,0.0,90,100,85,6,5,23,10,1.0,0,0,0,0.0,0,10,1,2,36,6,12,,,0,0,1,9,3,4,16,10,,,0,1,1,90,0,0.0,1,1,100.0,0,1,0,1,100.0,0,0,0,0,,1,1,90,0,0.0,7,7,100.0,0,1,0,1,100.0,0,0,0,0,
Sweden,Sweden,16,28.0,49.0,1,11,90,1.0,5,4,9,5,0,0,0,0,5.0,4.0,9.0,5.0,9.0,16,27.7,51.0,1,11,90,1.0,1,1,2,1,0,0,1,0,1.0,1.0,2.0,1.0,2.0,13,7,53.8,13.0,7.0,0.38,0.71,6,2,33.3,6.0,2.0,0.17,0.5,90,100,84,6,5,12,10,3.0,5,1,4,4.0,90,100,84,6,5,14,10,0.0,1,5,-4,-4.0,0,10,8,3,12,8,10,,,0,0,8,8,6,13,5,11,,,0,1,1,90,1,1.0,2,1,50.0,1,0,0,0,0.0,0,0,0,0,,1,1,90,5,5.0,6,1,16.7,0,0,1,0,0.0,0,0,0,0,
